"Survey_Group2011","Survey_Code2011","Recipient_Code","Visa_Code_DG","MR_Code_DG","MR_Field_DG","Empl_Matrix_Name_DG","Emp_Status_Name_DG","Postdoctorate_Name_DG","Degree_Institution","Degree_Department","Citizen_Name_DG","DG_No_Forms","City","State","Zip","Type_of_Degree_DG","Surgroup2011","Recipient_Number","Sex_Code_DG","Empl_Matrix_Code_OLD","Postdoctorate_Code_DG","Emp_Status_Code_DG","Left_US_DG","Empl_Position_Title","Empl_Dept_Div","Empl_Inst_Org","Empl_City","Empl_State","Empl_Zip","Empl_Country","Surcode2011","Serial Number_DG","DG_Forms_Current_Yr","Surgroup","Survey_Code","Survey_Group","Empl_Matrix_Name","Empl_Matrix_Code","Granting Dept Serial Number","Surcode","Left_US_Code_DG","Date_Conferred_Code","survey_year","survey_type"
11.0,CACL,"110CACL2012",888.0,99.0,"12-Oth",Group III,Full-time,Yes,"University of California, Los Angeles",Department of Mathematics,United States,33.0,Los Angeles,CA,"90095",PHD,"11",20.0,2.0,30.0,1.0,1.0,No,Post-Doc,Department of Mathematics,Emory University,Atlanta,GA,"30322",United States,"11CACL",20120261,33.0,MPu_L,CACL,110.0,Math Private Large,140.0,1187.0,"110CACL",2.0,12.0,2012,DGData
11.0,CACL,"110CACL2112",888.0,94.0,"7-Appl",Business/Industry,Full-time,No,"University of California, Los Angeles",Department of Mathematics,United States,33.0,Los Angeles,CA,"90095",PHD,"11",21.0,2.0,120.0,2.0,1.0,No,,,Google,Mountain View,CA,"94043",United States,"11CACL",20121482,33.0,MPu_L,CACL,110.0,Business/Industry,935.0,1187.0,"110CACL",2.0,12.0,2012,DGData
11.0,CACL,"110CACL2312",888.0,46.0,"2-Anal",Group I Public,Full-time,Yes,"University of California, Los Angeles",Department of Mathematics,United States,33.0,Los Angeles,CA,"90095",PHD,"11",23.0,2.0,11.0,1.0,1.0,No,Postdoc,Department of Mathematics ,University of Wisconsin - Madison,Madison,WI,"53706",United States,"11CACL",20121998,33.0,MPu_L,CACL,110.0,Math Public Large,110.0,1187.0,"110CACL",2.0,12.0,2012,DGData
11.0,CACL,"110CACL2412",888.0,99.0,"12-Oth",Business/Industry,Full-time,No,"University of California, Los Angeles",Department of Mathematics,United States,33.0,Los Angeles,CA,"90095",PHD,"11",24.0,1.0,120.0,2.0,1.0,No,,,Raytheon,,,,,"11CACL",20122511,33.0,MPu_L,CACL,110.0,Business/Industry,935.0,1187.0,"110CACL",2.0,12.0,2012,DGData
11.0,CACL,"110CACL2512",888.0,35.0,"10-Equa",Still Seeking (US),Still seeking,Not Applicable,"University of California, Los Angeles",Department of Mathematics,United States,33.0,Los Angeles,CA,"90095",PHD,"11",25.0,2.0,180.0,888.0,3.0,No,,,,,,,,"11CACL",20122934,33.0,MPu_L,CACL,110.0,Still Seeking (US),975.0,1187.0,"110CACL",2.0,12.0,2012,DGData
11.0,CACL,"110CACL2612",888.0,35.0,"10-Equa",Group I Public,Full-time,Yes,"University of California, Los Angeles",Department of Mathematics,United States,33.0,Los Angeles,CA,"90095",PHD,"11",26.0,2.0,11.0,1.0,1.0,No,Postdoc,Department of Mathematics,"University of California, Los Angeles",Los Angeles,CA,"90095",United States,"11CACL",20122037,33.0,MPu_L,CACL,110.0,Math Public Large,110.0,1187.0,"110CACL",2.0,12.0,2012,DGData
11.0,CACL,"110CACL2712",888.0,35.0,"10-Equa",Non-US Academic,Full-time,Yes,"University of California, Los Angeles",Department of Mathematics,United States,33.0,Los Angeles,CA,"90095",PHD,"11",27.0,1.0,150.0,1.0,1.0,Yes,Post-Doc,Department of Mathematics and Statistics,University of Jyvaskyla,Jyvaskyla 40014,,,FINLAND,"11CACL",20120189,33.0,MPu_L,CACL,110.0,Non-US Academic,945.0,1187.0,"110CACL",1.0,12.0,2012,DGData
11.0,CACL,"110CACL2812",888.0,52.0,"3-Geom",Non-US Academic,Full-time,Yes,"University of California, Los Angeles",Department of Mathematics,United States,33.0,Los Angeles,CA,"90095",PHD,"11",28.0,2.0,150.0,1.0,1.0,Yes,Postdoc,Department of Mathematics,Ben-Gurion University,Beer-Sheva 84105,,,ISRAEL,"11CACL",20123774,33.0,MPu_L,CACL,110.0,Non-US Academic,945.0,1187.0,"110CACL",1.0,12.0,2012,DGData
11.0,CACL,"110CACL2912",888.0,46.0,"2-Anal",Unknown (US),Unknown,Unknown,"University of California, Los Angeles",Department of Mathematics,United States,33.0,Los Angeles,CA,"90095",PHD,"11",29.0,2.0,190.0,999.0,999.0,No,,,,,,,,"11CACL",20122313,33.0,MPu_L,CACL,110.0,Unknown (US),985.0,1187.0,"110CACL",2.0,12.0,2012,DGData
11.0,CACL,"110CACL3212",2.0,53.0,"3-Geom",Group I Private,Full-time,Yes,"University of California, Los Angeles",Department of Mathematics,China,33.0,Los Angeles,CA,"90095",PHD,"11",32.0,2.0,12.0,1.0,1.0,No,Boas Assistant Professor,Department of Mathematics,Northwestern University,Evanston,IL,"60208",United States,"11CACL",20124308,33.0,MPu_L,CACL,110.0,Math Private Large,140.0,1187.0,"110CACL",2.0,12.0,2012,DGData
